date,bcra_badlar,bcra_official_fx,bcra_policy_rate,bcra_reserves,datos_cpi_index,datos_emae_index,datos_inflation_mom,wb_arg_gdp_growth,wb_us_gdp_growth,bcra_official_fx_mom,bcra_reserves_mom,datos_emae_mom,bcra_badlar_lag1,bcra_official_fx_lag1,bcra_policy_rate_lag1,bcra_reserves_lag1,datos_cpi_index_lag1,datos_emae_index_lag1,datos_inflation_mom_lag1,wb_arg_gdp_growth_lag1,wb_us_gdp_growth_lag1,bcra_official_fx_mom_lag1,bcra_reserves_mom_lag1,datos_emae_mom_lag1
2004-01-31,,,,,,98.35047250981174,,,,,,,,,,,,,,,,,,
2004-02-29,,,,,,98.07504833928948,,,,,,-0.28004356613007264,,,,,,98.35047250981174,,,,,,
2004-03-31,,,,,,97.65271523558025,,,,,,-0.4306223762930772,,,,,,98.07504833928948,,,,,,-0.28004356613007264
2004-04-30,,,,,,95.2027527472484,,,,,,-2.508852398442263,,,,,,97.65271523558025,,,,,,-0.4306223762930772
2004-05-31,,,,,,96.96409424597724,,,,,,1.8500951368549012,,,,,,95.2027527472484,,,,,,-2.508852398442263
2004-06-30,,,,,,98.70475893729588,,,,,,1.7951641840771915,,,,,,96.96409424597724,,,,,,1.8500951368549012
2004-07-31,,,,,,100.83565403651131,,,,,,2.158857508146217,,,,,,98.70475893729588,,,,,,1.7951641840771915
2004-08-31,,,,,,102.17645110576755,,,,,,1.3296854987133289,,,,,,100.83565403651131,,,,,,2.158857508146217
2004-09-30,,,,,,102.35704217381009,,,,,,0.17674431445617866,,,,,,102.17645110576755,,,,,,1.3296854987133289
2004-10-31,,,,,,103.13377620494876,,,,,,0.7588476714867509,,,,,,102.35704217381009,,,,,,0.17674431445617866
2004-11-30,,,,,,103.58492083384552,,,,,,0.4374363525681879,,,,,,103.13377620494876,,,,,,0.7588476714867509
2004-12-31,,,,,,102.9623136299135,,,,,,-0.6010596898854637,,,,,,103.58492083384552,,,,,,0.4374363525681879
2005-01-31,,,,,,105.77683223029624,,,,,,2.733542498373942,,,,,,102.9623136299135,,,,,,-0.6010596898854637
2005-02-28,,,,,,106.05331187117449,,,,,,0.2613801482316047,,,,,,105.77683223029624,,,,,,2.733542498373942
2005-03-31,,,,,,106.82766801795856,,,,,,0.7301574398022481,,,,,,106.05331187117449,,,,,,0.2613801482316047
2005-04-30,,,,,,107.97499071905747,,,,,,1.0739939590425518,,,,,,106.82766801795856,,,,,,0.7301574398022481
2005-05-31,,,,,,109.06959677982024,,,,,,1.0137588838612155,,,,,,107.97499071905747,,,,,,1.0739939590425518
2005-06-30,,,,,,108.60505831245914,,,,,,-0.42591013543294975,,,,,,109.06959677982024,,,,,,1.0137588838612155
2005-07-31,,,,,,109.15441481939789,,,,,,0.5058295768860299,,,,,,108.60505831245914,,,,,,-0.42591013543294975
2005-08-31,,,,,,109.39707825353612,,,,,,0.22231206547140836,,,,,,109.15441481939789,,,,,,0.5058295768860299
2005-09-30,,,,,,109.22115221023762,,,,,,-0.16081420647339195,,,,,,109.39707825353612,,,,,,0.22231206547140836
2005-10-31,,,,,,109.9528530402671,,,,,,0.6699259394563395,,,,,,109.22115221023762,,,,,,-0.16081420647339195
2005-11-30,,,,,,111.17256424335106,,,,,,1.1093038237373287,,,,,,109.9528530402671,,,,,,0.6699259394563395
